round,agent_id,parent_id,birth_round,expected,submitted,correct,output_tokens,profit,balance_after
1,1,,0,-827778528,-827778528,True,400,-300.0,700.0
1,2,,0,-827778528,-827778528,True,264,-164.0,836.0
1,3,,0,-827778528,-827809728,False,190,-90.0,910.0
1,4,,0,-827778528,-827742528,False,213,-113.0,887.0
1,5,,0,-827778528,-827778528,True,285,-185.0,815.0
1,6,,0,-827778528,-827891328,False,253,-153.0,847.0
1,7,,0,-827778528,-827778528,True,352,-252.0,748.0
1,8,,0,-827778528,-828080928,False,196,-96.0,904.0
1,9,,0,-827778528,-827778528,True,288,-188.0,812.0
1,10,,0,-827778528,-828567144,False,122,-22.0,978.0
1,11,,0,-827778528,-827778528,True,285,-185.0,815.0
1,12,,0,-827778528,-827778528,True,286,-186.0,814.0
1,13,,0,-827778528,-827778528,True,491,-391.0,609.0
1,14,,0,-827778528,-827778528,True,456,-356.0,644.0
1,15,,0,-827778528,-827778528,True,280,-180.0,820.0
1,16,,0,-827778528,-827778528,True,399,-299.0,701.0
1,17,,0,-827778528,-827827728,False,215,-115.0,885.0
1,18,,0,-827778528,-828178528,False,392,-292.0,708.0
1,19,,0,-827778528,-827778528,True,276,-176.0,824.0
1,20,,0,-827778528,-827778528,True,261,-161.0,839.0
2,1,,0,979440384,979440384,True,503,-403.0,297.0
2,2,,0,979440384,979440384,True,474,-374.0,462.0
2,3,,0,979440384,978912384,False,216,-116.0,794.0
2,4,,0,979440384,979440384,True,354,-254.0,633.0
2,5,,0,979440384,979440184,False,285,-185.0,630.0
2,6,,0,979440384,979472184,False,416,-316.0,531.0
2,7,,0,979440384,978998784,False,290,-190.0,558.0
2,8,,0,979440384,979220784,False,216,-116.0,788.0
2,9,,0,979440384,979440384,True,453,-353.0,459.0
2,10,,0,979440384,979440184,False,334,-234.0,744.0
2,11,,0,979440384,979440384,True,284,-184.0,631.0
2,12,,0,979440384,979440384,True,475,-375.0,439.0
2,13,,0,979440384,979440384,True,561,-461.0,148.0
2,14,,0,979440384,979119384,False,216,-116.0,528.0
2,15,,0,979440384,978071784,False,217,-117.0,703.0
2,16,,0,979440384,979377384,False,291,-191.0,510.0
2,17,,0,979440384,978072984,False,217,-117.0,768.0
2,18,,0,979440384,979440384,True,584,-484.0,224.0
2,19,,0,979440384,979440384,True,475,-375.0,449.0
2,20,,0,979440384,979440384,True,359,-259.0,580.0
3,1,,0,2066865208,2066865208,True,537,-437.0,-140.0
3,2,,0,2066865208,2067262408,False,221,-121.0,341.0
3,3,,0,2066865208,2066217808,False,371,-271.0,523.0
3,4,,0,2066865208,2066614408,False,221,-121.0,512.0
3,5,,0,2066865208,2067162808,False,221,-121.0,509.0
3,6,,0,2066865208,2066315008,False,254,-154.0,377.0
3,7,,0,2066865208,2066865208,True,330,-230.0,328.0
3,8,,0,2066865208,2067232408,False,214,-114.0,674.0
3,9,,0,2066865208,2066865208,True,433,-333.0,126.0
3,10,,0,2066865208,2068071630,False,83,17.0,761.0
3,11,,0,2066865208,2066865208,True,367,-267.0,364.0
3,12,,0,2066865208,2067279608,False,219,-119.0,320.0
3,13,,0,2066865208,2066865208,True,517,-417.0,-269.0
3,14,,0,2066865208,2070409650.0,False,227,-127.0,401.0
3,15,,0,2066865208,"2,071,103,796",False,235,-135.0,568.0
3,16,,0,2066865208,2066574608,False,199,-99.0,411.0
3,17,,0,2066865208,2066715608,False,209,-109.0,659.0
3,18,,0,2066865208,2066865208,True,475,-375.0,-151.0
3,19,,0,2066865208,2066865208,True,454,-354.0,95.0
3,20,,0,2066865208,2070404730.0,False,217,-117.0,463.0
4,2,,0,6513011236,6512971036,False,289,-189.0,152.0
4,3,,0,6513011236,6512004676,False,314,-214.0,309.0
4,4,,0,6513011236,6513011236,True,588,-488.0,24.0
4,5,,0,6513011236,6514004476,False,308,-208.0,301.0
4,6,,0,6513011236,6513011236,True,279,-179.0,198.0
4,7,,0,6513011236,6511629676,False,310,-210.0,118.0
4,8,,0,6513011236,6510064876,False,275,-175.0,499.0
4,9,,0,6513011236,6513011236,True,475,-375.0,-249.0
4,10,,0,6513011236,6512991136,False,274,-174.0,587.0
4,11,,0,6513011236,6512002876,False,301,-201.0,163.0
4,12,,0,6513011236,6513011236,True,608,-508.0,-188.0
4,14,,0,6513011236,6513238276,False,222,-122.0,279.0
4,15,,0,6513011236,6512971036,False,282,-182.0,386.0
4,16,,0,6513011236,6513004876,False,314,-214.0,197.0
4,17,,0,6513011236,6510656476,False,222,-122.0,537.0
4,19,,0,6513011236,6513011236,True,405,-305.0,-210.0
4,20,,0,6513011236,6512971036,False,397,-297.0,166.0
4,21,17,3,6513011236,6513011236,True,270,-170.0,830.0
4,22,10,3,6513011236,6510790876,False,177,-77.0,923.0
4,23,10,3,6513011236,6512971036,False,283,-183.0,817.0
5,2,,0,1260453401,1260453401,True,458,-358.0,-206.0
5,3,,0,1260453401,1259674601,False,280,-180.0,129.0
5,4,,0,1260453401,1260453401,True,615,-515.0,-491.0
5,5,,0,1260453401,1260766601,False,307,-207.0,94.0
5,6,,0,1260453401,1260755201,False,253,-153.0,45.0
5,7,,0,1260453401,1260550001,False,350,-250.0,-132.0
5,8,,0,1260453401,1260536801,False,227,-127.0,372.0
5,10,,0,1260453401,1276526585,False,83,17.0,604.0
5,11,,0,1260453401,1260246001,False,221,-121.0,42.0
5,14,,0,1260453401,1260668801,False,221,-121.0,158.0
5,15,,0,1260453401,"1,274,370,521",False,344,-244.0,142.0
5,16,,0,1260453401,1258799801,False,283,-183.0,14.0
5,17,,0,1260453401,1261371401,False,217,-117.0,420.0
5,20,,0,1260453401,"1,273,809,111",False,212,-112.0,54.0
5,21,17,3,1260453401,1260454001,False,374,-274.0,556.0
5,22,10,3,1260453401,1278755585,False,82,18.0,941.0
5,23,10,3,1260453401,5768175585,False,182,-82.0,735.0
5,24,8,4,1260453401,1260453401,True,380,-280.0,720.0
5,25,15,4,1260453401,1260697001,False,219,-119.0,881.0
5,26,15,4,1260453401,1260453401,True,440,-340.0,660.0
6,3,,0,2131887734,2131532534,False,198,-98.0,31.0
6,5,,0,2131887734,2131098734,False,309,-209.0,-115.0
6,6,,0,2131887734,2131245134,False,254,-154.0,-109.0
6,8,,0,2131887734,2132366734,False,224,-124.0,248.0
6,10,,0,2131887734,2131098334,False,193,-93.0,511.0
6,11,,0,2131887734,2131705934,False,304,-204.0,-162.0
6,14,,0,2131887734,2131887734,True,518,-418.0,-260.0
6,15,,0,2131887734,2131887734,True,726,-626.0,-484.0
6,16,,0,2131887734,2131647934,False,279,-179.0,-165.0
6,17,,0,2131887734,2131093334,False,222,-122.0,298.0
6,20,,0,2131887734,2131335734,False,313,-213.0,-159.0
6,21,17,3,2131887734,2132186534,False,265,-165.0,391.0
6,22,10,3,2131887734,2332789682,False,83,17.0,958.0
6,23,10,3,2131887734,"2,330,346,690",False,143,-43.0,692.0
6,24,8,4,2131887734,2131200334,False,190,-90.0,630.0
6,25,15,4,2131887734,2131653734,False,208,-108.0,773.0
6,26,15,4,2131887734,2131887734,True,270,-170.0,490.0
6,27,17,5,2131887734,2131596134,False,218,-118.0,882.0
6,28,17,5,2131887734,2131887734,True,525,-425.0,575.0
6,29,22,5,2131887734,2122185682,False,82,18.0,1018.0
7,3,,0,-3893758332,-3893758332,True,341,-241.0,-210.0
7,8,,0,-3893758332,-3893115532,False,291,-191.0,57.0
7,10,,0,-3893758332,-3893578932,False,207,-107.0,404.0
7,17,,0,-3893758332,-3894570132,False,300,-200.0,98.0
7,21,17,3,-3893758332,-3893600532,False,268,-168.0,223.0
7,22,10,3,-3893758332,-3894378076,False,85,15.0,973.0
7,23,10,3,-3893758332,-3892922060,False,107,-7.0,685.0
7,24,8,4,-3893758332,-3893222132,False,229,-129.0,501.0
7,25,15,4,-3893758332,-3893758332,True,397,-297.0,476.0
7,26,15,4,-3893758332,-3893459732,False,230,-130.0,360.0
7,27,17,5,-3893758332,-3893329532,False,326,-226.0,656.0
