round,agent_id,parent_id,birth_round,expected,submitted,correct,output_tokens,profit,balance_after
1,1,,0,-1506727874,-1507227074,False,286,-400.0,600.0
1,2,,0,-1506727874,-1506727874,True,294,100.0,1100.0
1,3,,0,-1506727874,-1506727874,True,360,100.0,1100.0
1,4,,0,-1506727874,-1506727874,True,364,100.0,1100.0
1,5,,0,-1506727874,-1506727874,True,373,100.0,1100.0
1,6,,0,-1506727874,-1507095074,False,221,-400.0,600.0
1,7,,0,-1506727874,-1507176074,False,299,-400.0,600.0
1,8,,0,-1506727874,-1506810674,False,281,-400.0,600.0
1,9,,0,-1506727874,-1507110674,False,318,-400.0,600.0
1,10,,0,-1506727874,-1506727874,True,376,100.0,1100.0
1,11,,0,-1506727874,-1505537054,False,168,-400.0,600.0
1,12,,0,-1506727874,-1507314674,False,285,-400.0,600.0
1,13,,0,-1506727874,-1506730074,False,363,-400.0,600.0
1,14,,0,-1506727874,-1506727874,True,370,100.0,1100.0
1,15,,0,-1506727874,-1506727874,True,358,100.0,1100.0
1,16,,0,-1506727874,-1506727874,True,349,100.0,1100.0
1,17,,0,-1506727874,-1506727874,True,358,100.0,1100.0
1,18,,0,-1506727874,-1506727874,True,555,100.0,1100.0
1,19,,0,-1506727874,-1506727874,True,425,100.0,1100.0
1,20,,0,-1506727874,-1506727874,True,344,100.0,1100.0
2,1,,0,-2668116222,-2668116422,False,387,-400.0,200.0
2,2,,0,-2668116222,-2668334322,False,343,-400.0,700.0
2,3,,0,-2668116222,-2668115622,False,435,-400.0,700.0
2,4,,0,-2668116222,-2668116222,True,343,100.0,1200.0
2,5,,0,-2668116222,-2668116422,False,290,-400.0,700.0
2,6,,0,-2668116222,-2668116222,True,400,100.0,700.0
2,7,,0,-2668116222,-2668116422,False,286,-400.0,200.0
2,8,,0,-2668116222,-2667764922,False,327,-400.0,200.0
2,9,,0,-2668116222,-2668116222,True,339,100.0,700.0
2,10,,0,-2668116222,-2668116422,False,293,-400.0,700.0
2,11,,0,-2668116222,-2668116422,False,370,-400.0,200.0
2,12,,0,-2668116222,-2668116222,True,367,100.0,700.0
2,13,,0,-2668116222,(14826 * 10059) - (29081 * 96876),False,180,-400.0,200.0
2,14,,0,-2668116222,-2668116422,False,434,-400.0,700.0
2,15,,0,-2668116222,-2668116222,True,396,100.0,1200.0
2,16,,0,-2668116222,-2668075122,False,259,-400.0,700.0
2,17,,0,-2668116222,-2668402122,False,213,-400.0,700.0
2,18,,0,-2668116222,-2668124922,False,332,-400.0,700.0
2,19,,0,-2668116222,-2666755122,False,302,-400.0,700.0
2,20,,0,-2668116222,-2668116222,True,434,100.0,1200.0
3,1,,0,3167987407,3168997807,False,355,-400.0,-200.0
3,2,,0,3167987407,3166464,False,197,-400.0,300.0
3,3,,0,3167987407,3167987407,True,481,100.0,800.0
3,4,,0,3167987407,3167987407,True,416,100.0,1300.0
3,5,,0,3167987407,3167987407,True,450,100.0,800.0
3,6,,0,3167987407,3167987407,True,438,100.0,800.0
3,7,,0,3167987407,3163511627,False,406,-400.0,-200.0
3,8,,0,3167987407,3167987407,True,516,100.0,300.0
3,9,,0,3167987407,3167987407,True,439,100.0,800.0
3,10,,0,3167987407,3169834807,False,304,-400.0,300.0
3,11,,0,3167987407,3163916427,False,287,-400.0,-200.0
3,12,,0,3167987407,3163854027,False,164,-400.0,300.0
3,13,,0,3167987407,3170248207,False,313,-400.0,-200.0
3,14,,0,3167987407,3167987407,True,360,100.0,800.0
3,15,,0,3167987407,3167987407,True,439,100.0,1300.0
3,16,,0,3167987407,3167987407,True,436,100.0,800.0
3,17,,0,3167987407,3167987407,True,439,100.0,800.0
3,18,,0,3167987407,3169835807,False,318,-400.0,300.0
3,19,,0,3167987407,3168914407,False,400,-400.0,300.0
3,20,,0,3167987407,3169824007,False,220,-400.0,800.0
4,2,,0,-2075442851,-2076143551,False,216,-400.0,-100.0
4,3,,0,-2075442851,-2075442851,True,437,100.0,900.0
4,4,,0,-2075442851,-2075442851,True,469,100.0,1400.0
4,5,,0,-2075442851,-2075442851,True,442,100.0,900.0
4,6,,0,-2075442851,-2076144251,False,189,-400.0,400.0
4,8,,0,-2075442851,-2076324251,False,327,-400.0,-100.0
